theta           phi             x                y                z                Bx               By               Bz
0.00000000E+00  0.00000000E+00  +1.09302825E+01  +0.00000000E+00  +0.00000000E+00  +0.00000000E+00  +3.05414794E-01  -3.35317054E-02
0.00000000E+00  4.94739001E-02  +1.09113420E+01  +5.40267512E-01  -4.31165470E-02  -2.05714570E-02  +3.05087596E-01  -3.28133263E-02
0.00000000E+00  9.89478001E-02  +1.08549970E+01  +1.07759717E+00  -8.35472131E-02  -4.08980146E-02  +3.04083806E-01  -3.06910640E-02
0.00000000E+00  1.48421700E-01  +1.07626374E+01  +1.60924300E+00  -1.18772900E-01  -6.07052759E-02  +3.02371106E-01  -2.72689458E-02
0.00000000E+00  1.97895600E-01  +1.06364500E+01  +2.13282196E+00  -1.46607618E-01  -7.97019955E-02  +2.99974383E-01  -2.27287973E-02
0.00000000E+00  2.47369500E-01  +1.04792332E+01  +2.64644430E+00  -1.65351349E-01  -9.76295150E-02  +2.97005902E-01  -1.73226778E-02
0.00000000E+00  2.96843400E-01  +1.02941630E+01  +3.14878847E+00  -1.73905768E-01  -1.14302651E-01  +2.93624489E-01  -1.13516388E-02
0.00000000E+00  3.46317300E-01  +1.00845411E+01  +3.63911430E+00  -1.71833232E-01  -1.29609924E-01  +2.89957500E-01  -5.14756388E-03
0.00000000E+00  3.95791200E-01  +9.85355900E+00  +4.11721959E+00  -1.59356448E-01  -1.43488887E-01  +2.86049432E-01  +9.31564344E-04
0.00000000E+00  4.45265101E-01  +9.60410131E+00  +4.58335179E+00  -1.37312603E-01  -1.55918483E-01  +2.81871572E-01  +6.50428334E-03
0.00000000E+00  4.94739001E-01  +9.33859563E+00  +5.03808716E+00  -1.07080406E-01  -1.66947743E-01  +2.77372300E-01  +1.11867595E-02
0.00000000E+00  5.44212901E-01  +9.05890539E+00  +5.48218519E+00  -7.04916417E-02  -1.76733993E-01  +2.72514501E-01  +1.46365177E-02
0.00000000E+00  5.93686801E-01  +8.76626236E+00  +5.91642493E+00  -2.97290987E-02  -1.85543609E-01  +2.67261284E-01  +1.65985413E-02
0.00000000E+00  6.43160701E-01  +8.46124321E+00  +6.34143313E+00  +1.27916680E-02  -1.93697589E-01  +2.61521540E-01  +1.69310400E-02
0.00000000E+00  6.92634601E-01  +8.14379814E+00  +6.75752014E+00  +5.45560455E-02  -2.01492946E-01  +2.55108054E-01  +1.56104501E-02
0.00000000E+00  7.42108501E-01  +7.81333502E+00  +7.16454243E+00  +9.30921232E-02  -2.09149667E-01  +2.47755390E-01  +1.27312303E-02
0.00000000E+00  7.91582401E-01  +7.46885160E+00  +7.56180594E+00  +1.26108867E-01  -2.16808460E-01  +2.39196738E-01  +8.50475822E-03
0.00000000E+00  8.41056301E-01  +7.10909916E+00  +7.94801664E+00  +1.51620988E-01  -2.24563020E-01  +2.29247933E-01  +3.24325357E-03
0.00000000E+00  8.90530201E-01  +6.73275850E+00  +8.32127671E+00  +1.68057215E-01  -2.32486307E-01  +2.17839196E-01  -2.67997972E-03
0.00000000E+00  9.40004101E-01  +6.33861427E+00  +8.67912395E+00  +1.74353984E-01  -2.40621219E-01  +2.04982407E-01  -8.87852311E-03
0.00000000E+00  9.89478001E-01  +5.92572090E+00  +9.01861686E+00  +1.70035396E-01  -2.48942965E-01  +1.90719007E-01  -1.49840474E-02
0.00000000E+00  1.03895190E+00  +5.49355520E+00  +9.33647231E+00  +1.55271938E-01  -2.57331668E-01  +1.75103568E-01  -2.06542517E-02
0.00000000E+00  1.08842580E+00  +5.04214489E+00  +9.62925738E+00  +1.30901265E-01  -2.65592048E-01  +1.58234019E-01  -2.55743132E-02
0.00000000E+00  1.13789970E+00  +4.57215569E+00  +9.89362315E+00  +9.83937172E-02  -2.73519936E-01  +1.40288108E-01  -2.94697674E-02
0.00000000E+00  1.18737360E+00  +4.08491930E+00  +1.01265536E+01  +5.97577284E-02  -2.80970076E-01  +1.21518113E-01  -3.21287631E-02
0.00000000E+00  1.23684750E+00  +3.58239335E+00  +1.03255969E+01  +1.73988140E-02  -2.87870360E-01  +1.02200747E-01  -3.34164071E-02
0.00000000E+00  1.28632140E+00  +3.06705717E+00  +1.04890526E+01  -2.60437595E-02  -2.94174053E-01  +8.25889004E-02  -3.32724748E-02
0.00000000E+00  1.33579530E+00  +2.54175671E+00  +1.06160967E+01  -6.78641652E-02  -2.99802435E-01  +6.29094726E-02  -3.17034871E-02
0.00000000E+00  1.38526920E+00  +2.00951724E+00  +1.07068338E+01  -1.05456483E-01  -3.04640516E-01  +4.33997882E-02  -2.87838824E-02
0.00000000E+00  1.43474310E+00  +1.47334371E+00  +1.07622712E+01  -1.36481915E-01  -3.08594039E-01  +2.43332635E-02  -2.46642451E-02
0.00000000E+00  1.48421700E+00  +9.36029923E-01  +1.07842136E+01  -1.59029524E-01  -3.11651503E-01  +5.99869459E-03  -1.95706013E-02
